batch_size,threshold,low_rank_mode,compose_mode,device,before_latency_mean s,before_latency_std s,before_throughput_mean s,before_throughput_std s,before_model_size_mb,before_params,before_accuracy,after_params,after_latency_mean s,after_latency_std s,after_throughput_mean s,after_throughput_std s,after_model_size_mb,after_accuracy
8,0.0001,quantile,one_layer,cuda,1.0455263912677766,1.1468103435582018,0.11624519936740399,0.006544387319739566,42.655,11181642,0.9375,11181642,0.7732447981834412,0.06536877271293241,0.11239760033786297,0.0034356145784992464,42.655,0.9375
8,0.0001,quantile,two_layers,cuda,0.7737839996814728,0.03482704079103169,0.11505720056593419,0.00572513173795276,42.655,11181642,0.9375,12664494,1.4372975707054139,1.7006717894378507,0.15899879857897758,0.005956366976584087,48.311,0.9375
8,0.0001,quantile,three_layers,cuda,0.7881135970354081,0.02063890546256095,0.11604740098118782,0.008020026160828616,42.655,11181642,0.9375,12668856,1.1557504057884216,0.03738044532142134,0.16644200012087823,0.006516014899113704,48.328,0.9375
8,0.1,quantile,one_layer,cuda,0.7896815985441208,0.03248364405116664,0.1150893997400999,0.00365446209393828,42.655,11181642,0.9375,11181642,0.7976544022560119,0.03195134842930689,0.11695279888808727,0.006059561671985679,42.655,0.9375
8,0.1,quantile,two_layers,cuda,0.8100671947002411,0.039897778537737925,0.11906659938395023,0.0062034954008493804,42.655,11181642,0.9375,11411810,1.2780719995498657,0.9641052533053623,0.15379339829087257,0.004626389122742131,43.533,0.9375
8,0.1,quantile,three_layers,cuda,0.8546415954828263,0.14329129220724093,0.11478280015289784,0.004387635414123108,42.655,11181642,0.9375,11415760,1.1276623845100402,0.023747511740764057,0.16424559950828552,0.006037946319751094,43.548,0.9375
8,0.5,quantile,one_layer,cuda,0.8132447987794876,0.055105973578350904,0.11700820028781891,0.00714893959584333,42.655,11181642,0.9375,11181642,0.7913744032382966,0.028788262027591268,0.11627520024776458,0.005898570452107688,42.655,0.7625
8,0.5,quantile,two_layers,cuda,0.8042271941900253,0.05259417515303724,0.11656759977340699,0.0068186337070822315,42.655,11181642,0.9375,6338618,1.2493135988712312,0.9751460899324484,0.1486844003200531,0.004562647984884996,24.18,0.7625
8,0.5,quantile,three_layers,cuda,0.8134879976511001,0.06120117050703546,0.11480620056390763,0.0032162514847648284,42.655,11181642,0.9375,6340802,1.148663991689682,0.09036898329791675,0.1586990013718605,0.004480416863010411,24.188,0.7625
8,0.9,quantile,one_layer,cuda,0.8194127947092056,0.06913923420298211,0.1213359996676445,0.011651778490844852,42.655,11181642,0.9375,11181642,0.8047599971294404,0.0575027205539291,0.1133992001414299,0.004265215552027581,42.655,0.1875
8,0.9,quantile,two_layers,cuda,0.7849648028612137,0.03167107245957164,0.11530259996652603,0.004255203632699395,42.655,11181642,0.9375,1335370,1.2445231974124908,1.087488914573265,0.1433558002114296,0.005588388925084707,5.094,0.1875
8,0.9,quantile,three_layers,cuda,0.7835280001163483,0.04752446201495668,0.11506040059030057,0.005029550928924911,42.655,11181642,0.9375,1335850,1.1194208085536956,0.06742225337710085,0.16626139879226684,0.01749684702328829,5.096,0.1875
16,0.0001,quantile,one_layer,cuda,0.8494976073503494,0.12991237207348263,0.06255790032446384,0.002209714752041763,42.655,11181642,0.9375,11181642,0.7998816013336182,0.04012355817604058,0.06254470013082028,0.0026364909525733466,42.655,0.9375
16,0.0001,quantile,two_layers,cuda,0.7944240063428879,0.04840997579733418,0.06298189982771873,0.0023773436157817347,42.655,11181642,0.9375,12664494,1.0757151961326599,0.06127833151942789,0.08351969942450524,0.00311652580706542,48.311,0.9375
16,0.0001,quantile,three_layers,cuda,0.8173264056444168,0.07114330187773309,0.06349470000714064,0.0023170035418357627,42.655,11181642,0.9375,12668856,1.1801312029361726,0.07141583214218893,0.08864820040762425,0.002878953107715693,48.328,0.9375
16,0.1,quantile,one_layer,cuda,0.7748448014259338,0.029728096680829805,0.06365250051021576,0.0036930749148949295,42.655,11181642,0.9375,11181642,0.8134112060070038,0.054122580790228296,0.06405900064855814,0.002631679889492997,42.655,0.9375
16,0.1,quantile,two_layers,cuda,0.8205408036708832,0.04911417588776271,0.06319289971143008,0.0028056949668909185,42.655,11181642,0.9375,11411810,1.0929360032081603,0.04386655590820082,0.08017889969050884,0.004446745606107313,43.533,0.9375
16,0.1,quantile,three_layers,cuda,0.8324832051992417,0.1023005238288569,0.06369079947471619,0.0025051532780300417,42.655,11181642,0.9375,11415760,1.7390496015548706,0.8841985915774467,0.0867748998105526,0.007542449880251756,43.548,0.9375
16,0.5,quantile,one_layer,cuda,0.8184720069169998,0.11845973854779329,0.06639260053634644,0.013928295292242016,42.655,11181642,0.9375,11181642,0.8122880071401596,0.07769421404021996,0.06349280029535294,0.0024141125051603367,42.655,0.75
16,0.5,quantile,two_layers,cuda,0.7956304043531418,0.05382482769154396,0.06388830039650202,0.002118668658665911,42.655,11181642,0.9375,6338618,1.0258640050888062,0.05504560279883519,0.07820920050144195,0.0035760203794575726,24.18,0.75
16,0.5,quantile,three_layers,cuda,0.8078287988901138,0.03534017525503238,0.06365180052816868,0.0037175971925351354,42.655,11181642,0.9375,6340802,1.1132559955120087,0.07073524536212758,0.08274970017373562,0.0027474717961136494,24.188,0.75
16,0.9,quantile,one_layer,cuda,0.7986415952444077,0.07152405737859621,0.06280549988150597,0.0022512914240925114,42.655,11181642,0.9375,11181642,0.7877967953681946,0.055618979294306536,0.06250450015068054,0.0019254788554621837,42.655,0.2
16,0.9,quantile,two_layers,cuda,0.7878928065299988,0.02103374581864393,0.06314570028334857,0.0023141878023322775,42.655,11181642,0.9375,1335370,0.9904271990060807,0.04181974893955453,0.07724330015480518,0.00390719671520492,5.094,0.2
16,0.9,quantile,three_layers,cuda,0.8298112004995346,0.05936518780766203,0.06377180013805628,0.00510897393360938,42.655,11181642,0.9375,1335850,1.0661103963851928,0.045219649185676274,0.08114770092070103,0.0029974719827536183,5.096,0.2
